flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,flight.codeshared
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,2,A17,,2025-07-30T06:00:00+00:00,2025-07-30T06:00:00+00:00,,,,Lisbon Portela,Europe/Lisbon,LIS,LPPT,1,,,2025-07-30T08:45:00+00:00,,,,,,Azul,AD,AZU,7232,AD7232,AZU7232,tap air portugal,tp,tap,1363,tp1363,tap1363,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,2,A17,,2025-07-30T06:00:00+00:00,2025-07-30T06:00:00+00:00,,,,Lisbon Portela,Europe/Lisbon,LIS,LPPT,1,,,2025-07-30T08:45:00+00:00,,,,,,Air India,AI,AIC,7913,AI7913,AIC7913,tap air portugal,tp,tap,1363,tp1363,tap1363,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,2,A17,,2025-07-30T06:00:00+00:00,2025-07-30T06:00:00+00:00,,,,Lisbon Portela,Europe/Lisbon,LIS,LPPT,1,,,2025-07-30T08:45:00+00:00,,,,,,Azores Airlines,S4,RZO,8050,S48050,RZO8050,tap air portugal,tp,tap,1363,tp1363,tap1363,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,2,A17,,2025-07-30T06:00:00+00:00,2025-07-30T06:00:00+00:00,,,,Lisbon Portela,Europe/Lisbon,LIS,LPPT,1,,,2025-07-30T08:45:00+00:00,,,,,,Singapore Airlines,SQ,SIA,2773,SQ2773,SIA2773,tap air portugal,tp,tap,1363,tp1363,tap1363,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,2,A17,,2025-07-30T06:00:00+00:00,2025-07-30T06:00:00+00:00,,,,Lisbon Portela,Europe/Lisbon,LIS,LPPT,1,,,2025-07-30T08:45:00+00:00,,,,,,United Airlines,UA,UAL,6857,UA6857,UAL6857,tap air portugal,tp,tap,1363,tp1363,tap1363,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,2,A17,,2025-07-30T06:00:00+00:00,2025-07-30T06:00:00+00:00,,,,Lisbon Portela,Europe/Lisbon,LIS,LPPT,1,,,2025-07-30T08:45:00+00:00,,,,,,TAP Air Portugal,TP,TAP,1363,TP1363,TAP1363,,,,,,,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,B38,11.0,2025-07-30T07:50:00+00:00,2025-07-30T07:50:00+00:00,,,,Leonardo Da Vinci (Fiumicino),Europe/Rome,FCO,LIRF,3,,,2025-07-30T11:25:00+00:00,,,,,,American Airlines,AA,AAL,6719,AA6719,AAL6719,british airways,ba,baw,548,ba548,baw548,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,B38,11.0,2025-07-30T07:50:00+00:00,2025-07-30T07:50:00+00:00,,,,Leonardo Da Vinci (Fiumicino),Europe/Rome,FCO,LIRF,3,,,2025-07-30T11:25:00+00:00,,,,,,Japan Airlines,JL,JTL,7149,JL7149,JTL7149,british airways,ba,baw,548,ba548,baw548,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,B38,11.0,2025-07-30T07:50:00+00:00,2025-07-30T07:50:00+00:00,,,,Leonardo Da Vinci (Fiumicino),Europe/Rome,FCO,LIRF,3,,,2025-07-30T11:25:00+00:00,,,,,,Qatar Airways,QR,QTR,6229,QR6229,QTR6229,british airways,ba,baw,548,ba548,baw548,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,B38,11.0,2025-07-30T07:50:00+00:00,2025-07-30T07:50:00+00:00,,,,Leonardo Da Vinci (Fiumicino),Europe/Rome,FCO,LIRF,3,,,2025-07-30T11:25:00+00:00,,,,,,British Airways,BA,BAW,548,BA548,BAW548,,,,,,,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,2,A18,12.0,2025-07-30T08:00:00+00:00,2025-07-30T08:00:00+00:00,2025-07-30T08:11:00+00:00,2025-07-30T08:11:00+00:00,2025-07-30T08:11:00+00:00,Lisbon Portela,Europe/Lisbon,LIS,LPPT,1,,,2025-07-30T10:45:00+00:00,,,,,,Air China LTD,CA,CCA,7045,CA7045,CCA7045,tap air portugal,tp,tap,1351,tp1351,tap1351,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,2,A18,12.0,2025-07-30T08:00:00+00:00,2025-07-30T08:00:00+00:00,2025-07-30T08:11:00+00:00,2025-07-30T08:11:00+00:00,2025-07-30T08:11:00+00:00,Lisbon Portela,Europe/Lisbon,LIS,LPPT,1,,,2025-07-30T10:45:00+00:00,,,,,,Ethiopian Airlines,ET,ETH,1740,ET1740,ETH1740,tap air portugal,tp,tap,1351,tp1351,tap1351,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,2,A18,12.0,2025-07-30T08:00:00+00:00,2025-07-30T08:00:00+00:00,2025-07-30T08:11:00+00:00,2025-07-30T08:11:00+00:00,2025-07-30T08:11:00+00:00,Lisbon Portela,Europe/Lisbon,LIS,LPPT,1,,,2025-07-30T10:45:00+00:00,,,,,,Azores Airlines,S4,RZO,8609,S48609,RZO8609,tap air portugal,tp,tap,1351,tp1351,tap1351,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,3,29,11.0,2025-07-30T07:20:00+00:00,2025-07-30T07:20:00+00:00,2025-07-30T07:31:00+00:00,2025-07-30T07:31:00+00:00,2025-07-30T07:31:00+00:00,North Front,Europe/Gibraltar,GIB,LXGB,,,,2025-07-30T11:10:00+00:00,,,,,,American Airlines,AA,AAL,6674,AA6674,AAL6674,british airways,ba,baw,492,ba492,baw492,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,A6,20.0,2025-07-30T09:15:00+00:00,2025-07-30T09:15:00+00:00,2025-07-30T09:34:00+00:00,2025-07-30T09:34:00+00:00,2025-07-30T09:34:00+00:00,George Best Belfast City,Europe/London,BHD,EGAC,,,,2025-07-30T10:35:00+00:00,,,,,,Kenya Airways,KQ,KQA,4096,KQ4096,KQA4096,british airways,ba,baw,1420,ba1420,baw1420,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,A6,20.0,2025-07-30T09:15:00+00:00,2025-07-30T09:15:00+00:00,2025-07-30T09:34:00+00:00,2025-07-30T09:34:00+00:00,2025-07-30T09:34:00+00:00,George Best Belfast City,Europe/London,BHD,EGAC,,,,2025-07-30T10:35:00+00:00,,,,,,LATAM Airlines,LA,LAN,5539,LA5539,LAN5539,british airways,ba,baw,1420,ba1420,baw1420,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,A6,20.0,2025-07-30T09:15:00+00:00,2025-07-30T09:15:00+00:00,2025-07-30T09:34:00+00:00,2025-07-30T09:34:00+00:00,2025-07-30T09:34:00+00:00,George Best Belfast City,Europe/London,BHD,EGAC,,,,2025-07-30T10:35:00+00:00,,,,,,Qantas,QF,QFA,3568,QF3568,QFA3568,british airways,ba,baw,1420,ba1420,baw1420,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,A6,20.0,2025-07-30T09:15:00+00:00,2025-07-30T09:15:00+00:00,2025-07-30T09:34:00+00:00,2025-07-30T09:34:00+00:00,2025-07-30T09:34:00+00:00,George Best Belfast City,Europe/London,BHD,EGAC,,,,2025-07-30T10:35:00+00:00,,,,,,Qatar Airways,QR,QTR,5986,QR5986,QTR5986,british airways,ba,baw,1420,ba1420,baw1420,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,3,26,22.0,2025-07-30T09:15:00+00:00,2025-07-30T09:15:00+00:00,2025-07-30T09:36:00+00:00,2025-07-30T09:36:00+00:00,2025-07-30T09:36:00+00:00,Chicago O'hare International,America/Chicago,ORD,KORD,5,IAB,CUST,2025-07-30T11:55:00+00:00,,,,,,Iberia,IB,IBE,4209,IB4209,IBE4209,american airlines,aa,aal,87,aa87,aal87,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,3,26,22.0,2025-07-30T09:15:00+00:00,2025-07-30T09:15:00+00:00,2025-07-30T09:36:00+00:00,2025-07-30T09:36:00+00:00,2025-07-30T09:36:00+00:00,Chicago O'hare International,America/Chicago,ORD,KORD,5,IAB,CUST,2025-07-30T11:55:00+00:00,,,,,,Malaysia Airlines,MH,MAS,9407,MH9407,MAS9407,american airlines,aa,aal,87,aa87,aal87,
